Hugo_Symbol,count
PIK3CA,385
TTN,359
TP53,331
MUC16,152
CDH1,122
MAP3K1,106
GATA3,105
MUC12,101
MLL3,91
MUC4,91
RYR2,76
SYNE1,74
DST,69
FLG,68
CROCCP2,67
HMCN1,66
DMD,64
FCGBP,63
RYR3,61
OBSCN,61
USH2A,60
SPEN,60
MUC5B,59
SYNE2,58
AHNAK,54
HRNR,52
NEB,51
AHNAK2,51
XIRP2,51
MUC17,51
UBR4,50
ABCA13,48
SPTA1,47
RYR1,46
APOB,46
CSMD1,46
FAT3,46
LRP2,45
MXRA5,45
MDN1,45
NCOR1,45
CMYA5,44
HUWE1,44
HYDIN,44
PCLO,44
ZFHX4,44
MACF1,43
GPR112,42
CSMD2,42
RNF213,41
GPR98,41
ANK2,40
COL6A5,40
PTEN,39
PKHD1L1,39
RNA5-8SP6,38
DNAH9,38
MGAM,38
TBP,38
LRP1,38
DNAH11,37
SACS,37
HERC2,37
PRUNE2,37
LRP1B,36
CACNA1E,36
DNAH5,36
DNAH10,36
RUNX1,36
ODZ1,35
NF1,35
FMN2,35
GON4L,34
CEP350,34
DNAH17,34
ASPM,34
MAP1A,34
VPS13D,34
HERC1,34
LYST,34
HECTD4,34
CSMD3,34
DNAH7,34
FAT2,34
CUBN,34
DYNC1H1,34
GOLGA6L2,33
PKHD1,33
MLL2,33
MGA,33
MAP2K4,33
ANK3,32
ARID1A,32
AKAP9,32
FRG1B,32
CHD4,32
F5,32
KIAA1109,32
USP34,32
FRAS1,31
MST1L,31
TEX15,31
UTRN,31
SRRM2,31
DNAH2,31
VPS13B,31
FAT4,31
FLNA,31
NOTCH2,31
KIAA1210,31
BAZ2B,31
PRKDC,31
DYSF,30
DNAH8,30
SMG1,30
SRCAP,30
URGCP,30
MED12,30
ATRX,30
SCN2A,30
DMXL2,30
MUC20,29
RELN,29
PDE4DIP,29
SPHKAP,29
DCHS2,29
ALMS1,29
PKD1L1,29
ZFHX3,29
COL12A1,29
MLL,29
DNAH6,29
DOCK11,29
BIRC6,29
MYCBP2,29
SVEP1,28
